case_id,memory_id,message,expect_change
NJ01,m_nj_hist_01,出行日期为2026年5月10日至2026年5月11日，我要在南京安排两天历史人文研学路线，4到6个点，节奏不要太赶,0
NJ02,m_nj_hist_01,出行日期不变（2026年5月10日至2026年5月11日），不要夫子庙，换一个同主题点,1
NJ03,m_nj_hist_01,出行日期不变（2026年5月10日至2026年5月11日），把第二天下午安排得轻松一点，减少一个点,1
NJ04,m_nj_hist_01,出行日期不变（2026年5月10日至2026年5月11日），增加一个博物馆相关点，但总点位不要超过6个,1
NJ05,m_nj_hist_01,重新开始，出行日期为2026年5月17日至2026年5月18日，给我一版偏红色教育主题的两天路线,1
NJ06,m_nj_sci_01,出行日期为2026年5月12日，我想在南京做一天科技探索路线，适合初中生，上午九点开始,0
NJ07,m_nj_sci_01,出行日期不变（2026年5月12日），不要太多室外点，优先室内场馆,1
NJ08,m_nj_sci_01,出行日期不变（2026年5月12日），不要上一个方案的第一个景点，换成交通更方便的点,1
NJ09,m_nj_sci_01,出行日期不变（2026年5月12日），把结束时间提前到下午五点前,1
NJ10,m_nj_parent_01,出行日期为2026年5月16日，给我南京一天亲子互动路线，包含午休时间，最多4个点,0
NJ11,m_nj_parent_01,出行日期不变（2026年5月16日），不要博物馆类，换成更互动的体验点,1
NJ12,m_nj_parent_01,出行日期不变（2026年5月16日），再减少一个点位，行程轻松一点,1
NJ13,m_nj_parent_01,重新开始，出行日期为2026年5月23日，做一版半天亲子路线，下午出发,1
NJ14,m_nj_photo_01,出行日期为2026年5月14日，我想拍照打卡，给我南京一天摄影记录主题路线,0
NJ15,m_nj_photo_01,出行日期不变（2026年5月14日），不要人太多的热门点，换成相对小众的点,1
NJ16,m_nj_photo_01,出行日期不变（2026年5月14日），加入一个夜景更好的点,1
NJ17,m_nj_campus_01,出行日期为2026年5月19日，安排南京高校参访主题一天路线，适合高中生,0
NJ18,m_nj_campus_01,出行日期不变（2026年5月19日），不要跨区太远，尽量集中在同一片区,1
NJ19,m_nj_campus_01,出行日期不变（2026年5月19日），加一个职业启蒙相关点,1
NJ20,m_nj_english_01,出行日期为2026年5月21日，给我南京英语实践主题半天路线，上午进行,0
NJ21,m_nj_english_01,出行日期不变（2026年5月21日），不要上一个方案里名称带公园的点,1
NJ22,m_nj_english_01,出行日期不变（2026年5月21日），把集合时间改成中午十二点后,1
NJ23,m_nj_edge_01,出行日期为2026年5月24日，一天内给我8个点，尽量覆盖历史人文和科技探索,0
NJ24,m_nj_edge_01,出行日期不变（2026年5月24日），点位太多了，压缩到4个且通勤更顺,1
NJ25,m_nj_edge_02,出行日期为2026年5月25日09:00到12:00，我只有3小时，给我南京最精简的历史路线,0
NJ26,m_nj_edge_02,出行日期不变（2026年5月25日09:00到12:00），不要任何上一个方案中的点，全部替换,1
NJ27,m_nj_adv_01,出行日期为2026年5月26日，随便给我一条南京路线,0
NJ28,m_nj_adv_01,出行日期不变（2026年5月26日），换一条完全不同的，不要重复上一个方案任何点,1
NJ29,m_nj_adv_01,出行日期不变（2026年5月26日），再换一版，优先自然生态方向,1
NJ30,m_nj_reset_01,出行日期为2026年5月30日至2026年5月31日，我要南京两天路线，主题你来定,0
NJ31,m_nj_reset_01,出行日期不变（2026年5月30日至2026年5月31日），不要第一个方案里的前两个点,1
NJ32,m_nj_reset_01,重新开始，出行日期为2026年6月6日至2026年6月7日，给我一版艺术美育主题路线,1
